Title,Artist,Nationality,Gender,Year,Medium,Classification
"Residence of Salman Schocken, Jerusalem, Israel, Perspective and elevation",Erich Mendelsohn,(American),(Male),2000,Graphite and color pencil on tracing paper,Architecture
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,(American),(Male),2000,Graphite and color pencil on tracing paper,Architecture
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,(American),(Male),2000,Graphite on tracing paper,Architecture
"Gated Wall, Perspective and elevation",Erich Mendelsohn,(American),(Male),2000,Graphite on tracing paper,Architecture
"Gated Wall, Perspective and elevation",Erich Mendelsohn,(American),(Male),2000,Graphite on tracing paper,Architecture
"Residence of Salman Schocken, Jerusalem, Israel, Perspectives",Erich Mendelsohn,(American),(Male),2000,Graphite on tracing paper,Architecture
Unidentified project (Perspective),Erich Mendelsohn,(American),(Male),2000,Print,Architecture
"Hadassah University Hospital, Mount Scopus, Jerusalem, Exterior perspective of northwest corner from University Building",Erich Mendelsohn,(American),(Male),2000,"Crayon, graphite, and gouache on sepia diazotype",Architecture
"Hadassah University Medical Center, Mount Scopus, Jerusalem, View of hospital, north west corner: ""From the National Library""",Erich Mendelsohn,(American),(Male),2000,"Tempera, graphite, and color pencil on print",Architecture
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Exterior perspective",Erich Mendelsohn,(American),(Male),2000,"Tempera, graphite, and color pencil on print",Architecture
"The House with Curtains Project, Perspective",Raimund Abraham,(American),(Male),2000,Crayon and graphite on paper,Architecture
"Grand Rapids Art Museum, project, Grand Rapids, Michigan, Perspective",Emilio Ambasz,(Argentine),(Male),2000,Cut-and-pasted sepia diazotype with color crayon on paper and airbrush,Architecture
"Residential Park, No-Stop City project (Plan)",Andrea Branzi,(Italian),(Male),2000,"Ink, cut-and-pasted self-adhesive polymer sheet, and pressure-transferred printed film on tracing paper, taped to paper",Architecture
"Plug-In City, project (Axonometric)",Peter Cook,(British),(Male),2000,Cut-and-pasted printed papers with graphite and clear and colored self-adhesive polymer sheets on gray paper-covered board with ink,Architecture
"Plug-in City: Maximum Pressure Area, project (Section)",Peter Cook,(British),(Male),2000,Ink and graphite on tracing paper with masking tape,Architecture
"Plug-in City: Maximum Pressure Area, project (Section)",Peter Cook,(British),(Male),2000,Ink and gouache on photomechanical print,Architecture
"Plug-in University Node, project (Elevation)",Peter Cook,(British),(Male),2000,Watercolor on photolithograph,Architecture
"House IV Project, Falls Village, Connecticut (Axonometrics)",Peter Eisenman,(American),(Male),2000,Ink on frosted polymer sheet,Architecture
"Spatial City, project, Aerial perspective",Yona Friedman,(French),(Male),2000,Ink on tracing paper,Architecture
"African Proposals, project, Perspective",Yona Friedman,(French),(Male),2000,Ink and watercolor on tracing paper,Architecture
"A Minimum Dymaxion Home, project, Elevation, axonometric, and plan",R. Buckminster Fuller,(American),(Male),2000,Graphite on paper,Architecture
"Dymaxion House, project (Plan)",R. Buckminster Fuller,(American),(Male),2000,"Pencil, watercolor, and metallic ink on tracing paper",Architecture
"Dymaxion House, project (Plan, deck-tensioning pattern)",R. Buckminster Fuller,(American),(Male),2000,Pencil and ink on paper with tape,Architecture
"Proposed Dymaxion Hanging Restaurant for Romany Marie, project, Sketch",R. Buckminster Fuller,(American),(Male),2000,Graphite and ink on tracing paper,Architecture
"Dymaxion House, project (Perspective)",R. Buckminster Fuller,(American),(Male),2000,Crayon on paper,Architecture
"A Dymaxion Home, project, Elevation, axonometric, and plan",R. Buckminster Fuller,(American),(Male),2000,Graphite and watercolor on Photostat,Architecture
"Wall House 2 (A. E. Bye House) Project , Ridgefield, Connecticut, Isometric",John Hejduk,(American),(Male),2000,Crayon on sepia diazotype,Architecture
"Wall House 2 (A. E. Bye House) Project , Ridgefield, Connecticut, Isometric",John Hejduk,(American),(Male),2000,Crayon on sepia diazotype,Architecture
"Wall House 2 (A. E. Bye House) Project, Ridgefield, Connecticut, Combined elevation and plan",John Hejduk,(American),(Male),2000,Color pencil and graphite on tracing paper on board,Architecture
"Cities: Moving, Master Vehicle-Habitation Project, Aerial Perspective",Ron Herron,(British),(Male),2000,Ink and graphite on tracing paper,Architecture
"Walking City on the Ocean, project (Exterior perspective)",Ron Herron,(British),(Male),2000,Cut-and-pasted printed and photographic papers and graphite covered with polymer sheet,Architecture
"Joint Core System, project, Shinjuku, Tokyo, Japan, Elevation",Arata Isozaki,(Japanese),(Male),2000,Ink and color pencil on paper,Architecture
"Re-ruined Hiroshima, project, Hiroshima, Japan (Perspective)",Arata Isozaki,(Japanese),(Male),2000,Ink and gouache with cut-and-pasted gelatin silver print on gelatin silver print,Architecture
"Roosevelt Island Redevelopment Project, New York, New York (Axonometric)","Rem Koolhaas, Elia Zenghelis",(Dutch) (British),(Male) (Male),2000,Gouache and graphite on board,Architecture
"New Welfare Island Project, Roosevelt Island, New York, NY (Aerial perspective)","Rem Koolhaas, Zoe Zenghelis",(Dutch) (British),(Male) (Female),2000,Gouache on paper,Architecture
"Welfare Palace Hotel Project, Roosevelt Island, New York, New York (Cutaway axonometric)","Rem Koolhaas, Madelon Vriesendorp",(Dutch) (Dutch),(Male) (Female),2000,Gouache on paper,Architecture
"House for Rita, project, Perspective and plan",Leon Krier,(Luxembourgish),(Male),2000,Ink on paper,Architecture
"House for Rita, project, Perspective",Leon Krier,(Luxembourgish),(Male),2000,Ink on paper with gouache,Architecture
"House for Rita, project, Elevation",Leon Krier,(Luxembourgish),(Male),2000,Ink on paper,Architecture
"Labyrinth City, project, Aerial perspective and section",Leon Krier,(Luxembourgish),(Male),2000,Ink with gouache on paper,Architecture
"House without Rooms, project, Aerial perspective",Leon Krier,(Luxembourgish),(Male),2000,Ink on paper,Architecture
House for Colin Rowe Project (Aerial axonometric view),Leon Krier,(Luxembourgish),(Male),2000,Ink with gouache on paper,Architecture
"Fountain House, project, Section A-A","Rodolfo Machado, Jorge Silvetti",(American) (American),(Male) (Male),2000,"Ink, self-adhesive lettering, and graphite on frosted polymer sheet",Architecture
"Fountain House, Generative Geometries, project, Plan","Rodolfo Machado, Jorge Silvetti",(American) (American),(Male) (Male),2000,Ink on polymer sheet,Architecture
"Housing, project (Elevation)",Alessandro Mendini,(Italian),(Male),2000,Printed polymer sheet with tape on lithograph,Architecture
"Housing, project (Elevation)",Alessandro Mendini,(Italian),(Male),2000,Printed polymer sheet with tape on lithograph,Architecture
"Take-Off, project, Perspective",Max Peintner,(Austrian),(Male),2000,Pencil on paper,Architecture
"The Period of Great Contaminations: Housing Unit for Two People, project, Axonometric section",Gaetano Pesce,(Italian),(Male),2000,"Goache, watercolor, and graphite with scoring on paper",Architecture
"The Period of Great Contaminations: Housing Unit for Two People, project",Gaetano Pesce,(Italian),(Male),2000,"Gouache, watercolor and graphite on paper",Architecture
"Church of Solitude Project, New York, New York, Transverse section",Gaetano Pesce,(Italian),(Male),2000,"Watercolor, colored ink, and pencil on paper",Architecture
"Church of Solitude Project, New York, New York, Plan",Gaetano Pesce,(Italian),(Male),2000,"Watercolor, ink and colored ink, gouache and graphite on paper",Architecture
"Church of Solitude Project, New York, New York, Longitudinal section",Gaetano Pesce,(Italian),(Male),2000,"Watercolor, ink, colored ink, gouache, and graphite on paper",Architecture
"Observatory Project, Perspective",Walter Pichler,(Austrian),(Male),2000,Graphite on illustration board,Architecture
"Pillars under the Shed Project, Aerial perspective",Walter Pichler,(Austrian),(Male),2000,"Ink, colored ink, and graphite on paper",Architecture
"Two Rooms Project, Perspective and plan",Walter Pichler,(Austrian),(Male),2000,"Ink, graphite, and color pencil on paper",Architecture
"Fun Palace for Joan Littlewood Project, Stratford East, London, England (Perspective)",Cedric Price,(British),(Male),2000,"Felt-tipped pen, ink, graphite, crayon and ink stamp on tracing paper with tape",Architecture
"Fun Palace for Joan Littlewood Project, Stratford East, London, England (Perspective)",Cedric Price,(British),(Male),2000,"Ink, crayon, and graphite on gelatin silver print, with self-adhesive paper dot",Architecture
"Fun Palace for Joan Littlewood Project, Stratford East, London, England (Storyboard for film and sketches)",Cedric Price,(British),(Male),2000,"Felt-tipped pen, graphite, crayon, and ink stamps on diazotype",Architecture
"Potteries Thinkbelt Project, Staffordshire, England (Perspective of Mobile Teaching Machines",Cedric Price,(British),(Male),2000,"Self-adhesive printed polymer sheets with ink and graphite on tracing paper, with self-adhesive paper dots",Architecture
"Potteries Thinkbelt Project, Staffordshire, England (Perspective of Madeley Transfer Area)",Cedric Price,(British),(Male),2000,"Ink and white ink on selectively abraded gelatin silver print, mounted on board with self-adhesive paper dot",Architecture
"Potteries Thinkbelt Project, Staffordshire, England (Perspective of Battery, Sprawl, and Capsule Housing, Hanley Site)",Cedric Price,(British),(Male),2000,"Ink and crayon on selectively abraded gelatin silver prints, mounted on board",Architecture
"Potteries Thinkbelt Project, Staffordshire, England (Perspective of Pitts Hill, North Transfer Area)",Cedric Price,(British),(Male),2000,"Ink, color pencil, and graphite on tracing paper, with self-adhesive paper dot",Architecture
"Potteries Thinkbelt Project, Staffordshire, England (Axonometric of Madeley Transfer Area)",Cedric Price,(British),(Male),2000,Ink and ink stamp on tracing paper,Architecture
"Potteries Thinkbelt Project, Staffordshire, England (Sketches of Pitts Hill, Early Transfer Area)",Cedric Price,(British),(Male),2000,"Ink, color ink, and color pencil on tracing paper",Architecture
"Potteries Thinkbelt Project, Staffordshire, England (Plan of Desire Lines-Physical and Mental Exchange)",Cedric Price,(British),(Male),2000,Ink and ink stamp on diazotype,Architecture
"Perspective of Battery, Crate, and Capsule Housing, Longton Site",Cedric Price,(British),(Male),2000,Ink and graphite on gelatin silver print,Architecture
"Potteries Thinkbelt Project, Staffordshire, England (Axonometric of Pitts Hill, Transfer Area)",Cedric Price,(British),(Male),2000,Ink and graphite with ink stamp and self-adhesive paper dot,Architecture
"Generator Project, White Oak, Florida, Design Thoughts Used as Reminders within Office B",Cedric Price,(British),(Male),2000,.a: ink and color ink on paper,Architecture
"Cemetery of San Cataldo, Modena, Italy, Plan","Aldo Rossi, Gianni Braghieri",(Italian) (Italian),(Male) (Male),2000,"Ink, color ink, and graphite on tracing paper",Architecture
"Cemetery of San Cataldo, Modena, Italy, Plan study","Aldo Rossi, Gianni Braghieri",(Italian) (Italian),(Male) (Male),2000,Color ink and graphite on tracing paper,Architecture
"Cemetery of San Cataldo, Modena, Italy, Plan study","Aldo Rossi, Gianni Braghieri",(Italian) (Italian),(Male) (Male),2000,Color ink and graphite on tracing paper,Architecture
"Housing Project, Setubal, Portugal (Elevation)","Aldo Rossi, J. da Nobrega, J. Charters",(Italian) (Italian) (Italian),(Male),2000,"Colored pencil, graphite, and felt-tipped pen on tracing paper",Architecture
"Housing Project, Setubal, Portugal (Elevation)","Aldo Rossi, J. da Nobrega, J. Charters",(Italian) (Italian) (Italian),(Male),2000,"Crayon, graphite, and felt-tipped pen on tracing paper",Architecture
"Cemetery of San Cataldo, Modena, Italy, Aerial perspective","Aldo Rossi, Gianni Braghieri",(Italian) (Italian),(Male) (Male),2000,Crayon and graphite on sepia diazotype,Architecture
"Cemetery of San Cataldo, Modena, Italy, Plan study","Aldo Rossi, Gianni Braghieri",(Italian) (Italian),(Male) (Male),2000,"Graphite, colored pencil, and dry transfer film on tracing paper",Architecture
"Lower Manhattan Expressway Project, New York, New York (Perspective to the East)",Paul Rudolph,(American),(Male),2000,Ink and graphite on paper,Architecture
"Elements of the Vertical City, project, Rome, Italy, Axonometric of base",Friedrich St. Florian,(American),(Male),2000,"Ink, graphite, and gouache on board",Architecture
"Elements of the Vertical City, project, Rome, Italy",Friedrich St. Florian,(American),(Male),2000,Graphite and ink on cardboard,Architecture
"Elements of the Vertical City, project, Rome, Italy, Axonometric of torso",Friedrich St. Florian,(American),(Male),2000,"Ink, graphite, and gouache on board",Architecture
"Elements of the Vertical City, project, Rome, Italy, Axonometric of crown",Friedrich St. Florian,(American),(Male),2000,"Ink, graphite, and gouache on board",Architecture
"Himmelbelt, project, Perspective",Friedrich St. Florian,(American),(Male),2000,Graphite and color pencil on paper,Architecture
"Urban Passage Project, Axonometric",Massimo Scolari,(Italian),(Male),2000,Colored ink and watercolor on board,Architecture
"Addio Melampo Project, Oblique projection",Massimo Scolari,(Italian),(Male),2000,"Colored ink, watercolor, and graphite on board",Architecture
"Study for Fruit Bowl (with Grapes), project (Aerial perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite and self-adhesive letters on paper,Architecture
"The Planet as Festival: Study for a Dispenser of Incense, LSD, Marijuana, Opium, Laughing Gas, project (Perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite on paper,Architecture
"The Planet as Festival: Study for Rafts for Listening to Chamber Music, project (Perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite on paper,Architecture
"The Planet as Festival: Study for Temple for Erotic Dances, project (Aerial perspective and plan)",Ettore Sottsass,(Italian),(Male),2000,Graphite and cut-and-pasted gelatin silver print on paper,Architecture
"Study for Fruit Bowl (with Apple), project (Aerial perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite and self-adhesive letters on paper,Architecture
"Study for Tea Pot (by Ocean with Shells), project (Perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite and self-adhesive letters on paper,Architecture
"Study for Tea Pot (in Forest Setting), project (Perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite and self-adhesive letters on paper,Architecture
"Study for Tea Pot (with Red Lid), project (Perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite and self-adhesive letters on paper,Architecture
"The Planet as Festival: Study for Design of a Stadium for Rock Concerts, project (Aerial perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite and white ink on paper,Architecture
"The Planet as Festival: Study for Design of a Stadium to Watch the Stars, project (Aerial perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite on paper,Architecture
"The Planet as Festival: Study for a Large Dispenser of Waltzes, Tangos, Rock, and Cha-Cha, project (Perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite on paper,Architecture
"The Planet as Festival: Gigantic Work, Panoramic Road with View on the Irrawaddy River and the Jungle, project (Aerial perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite on paper,Architecture
"Study for Tea Pot, project (Perspective)",Ettore Sottsass,(Italian),(Male),2000,Graphite and self-adhesive letters on paper,Architecture
"The Continuous Monument: On the River, project (Perspective)","Superstudio, Cristiano Toraldo di Francia, Gian Piero Frassinelli, Alessandro Magris, Roberto Magris, Adolfo Natalini",(Italian) (Italian) (Italian) (Italian) (Italian) (Italian),(Male) ,2000,"Cut-and-pasted printed paper, colored pencil, and oil stick on board",Architecture
"The Continuous Monument: St. Moritz Revisited, project (Perspective)","Superstudio, Gian Piero Frassinelli, Alessandro Magris, Roberto Magris, Adolfo Natalini, Cristiano Toraldo di Francia",(Italian) (Italian) (Italian) (Italian) (Italian) (Italian),(Male) ,2000,"Cut-and-pasted printed paper, colored pencil, and oil stick on board",Architecture
"The Continuous Monument: On the Rocky Coast, project (Perspective)","Superstudio, Gian Piero Frassinelli, Alessandro Magris, Roberto Magris, Cristiano Toraldo di Francia, Adolfo Natalini",(Italian) (Italian) (Italian) (Italian) (Italian) (Italian),(Male) ,2000,"Cut-and-pasted printed paper, colored pencil, and oil stick on board",Architecture
"The Continuous Monument: Alpine Lakes, project (Perspective)","Superstudio, Gian Piero Frassinelli, Cristiano Toraldo di Francia, Alessandro Magris, Roberto Magris, Adolfo Natalini",(Italian) (Italian) (Italian) (Italian) (Italian) (Italian),(Male) ,2000,"Cut-and-pasted printed paper, colored pencil, and oil stick on board",Architecture
"Furniture Manufacturers Association Headquarters, project, High Wycombe, England, Elevation",Michael Webb,(British),(Male),2000,Graphite and ink on tracing paper mounted on board,Architecture
"Hotel Sphinx (The Head) Project, New York, New York, Axonometric","Zoe Zenghelis, Elia Zenghelis",(British) (British),(Female) (Male),2000,Synthetic polymer paint and ink on paper,Architecture
"Orange Sound, project",Lauretta Vinciarelli,(Italian),(Female),2000,Watercolor and colored ink on paper,Architecture
"Orange Sound, project",Lauretta Vinciarelli,(Italian),(Female),2000,Watercolor and color ink on paper,Architecture
"Orange Sound, project",Lauretta Vinciarelli,(Italian),(Female),2000,Watercolor and colored ink on paper,Architecture
"Orange Sound, project",Lauretta Vinciarelli,(Italian),(Female),2000,Watercolor and colored ink on paper,Architecture
"Orange Sound, project",Lauretta Vinciarelli,(Italian),(Female),2000,Watercolor and colored ink on paper,Architecture
"Orange Sound, project",Lauretta Vinciarelli,(Italian),(Female),2000,Watercolor and colored ink on paper,Architecture
"Orange Sound, project",Lauretta Vinciarelli,(Italian),(Female),2000,Watercolor and colored ink on paper,Architecture
"Orange Sound, project",Lauretta Vinciarelli,(Italian),(Female),2000,Watercolor and colored ink on paper,Architecture
"Church of the Three Crosses, Vuoksenniska, Imatra, Finland",Alvar Aalto,(Finnish),(Male),2000,"Plastic, cardboard, and synthetic polymer paint",Architecture
"Viipuri City Library, Viipuri, Finland (now Vyborg, Russia)",Alvar Aalto,(Finnish),(Male),2000,"Plastic, wood, plywood, paper, and paint",Architecture
"German Pavilion, International Exposition, Barcelona, Spain",Ludwig Mies van der Rohe,(American),(Male),2000,Acrylic and chrome-plated glass,Architecture
"Generator, project, White Oak, Florida",Cedric Price,(British),(Male),2000,"Plastic, metal, plastic coated wires, and self-adhesive paper dots",Architecture
Fan (model GB1),Peter Behrens,(German),(Male),2000,Painted cast iron and brass,Design
Paper Vase,Kevin Dwyer,(American),(Male),2000,Honeycomb kraft liner board,Design
Mind Expander / Flyhead Helmet,"Haus-Rucker-Co, G_nter Zamp Kelp, Laurids Ortner, Manfred Ortner, Klaus Pinter",(Austrian) (Austrian) (Austrian) (Austrian) (Austrian),(Male),2000,Polyethylene and aluminum,Design
PH Table Lamp,Poul Henningsen,(Danish),(Male),2000,"Bakelite, glass, and brass",Design
Sandows Chair,RenÌ© Herbst,(French),(Male),2000,Nickel-plated steel tube and elastic rubber cord,Design
Jason Chair,Carl Jacobs,(Danish),(Male),2000,Beech,Design
Block Lamp,Harri Koskinen,(Finnish),(Male),2000,"Hand-cast glass, cord, and electrical switch",Design
Magic Chair,Ross Lovegrove,(British),(Male),2000,Tubular steel and polyurethane,Design
Timor Perpetual Calendar,Enzo Mari,(Italian),(Male),2000,Plastic,Design
Vicieuse Coffee Table,Philippe Starck,(French),(Male),2000,Polished die-cast aluminum and maple plywood with malamine formaldehyde laminate,Design
Ara Table Lamp,Philippe Starck,(French),(Male),2000,Polished chrome,Design
Ara Table Lamp,Philippe Starck,(French),(Male),2000,Polished chrome,Design
Ara Table Lamp,Philippe Starck,(French),(Male),2000,Polished chrome,Design
Bubu 1er,Philippe Starck,(French),(Male),2000,Injection-molded polypropylene,Design
Bubu 1er,Philippe Starck,(French),(Male),2000,Injection-molded polypropylene,Design
Bubu 1er,Philippe Starck,(French),(Male),2000,Injection molded polypropylene,Design
Ceci N'est Pas une Truelle Cake Server,Philippe Starck,(French),(Male),2000,Stainless steel and maple,Design
Chab Wellington Coat Hook,Philippe Starck,(French),(Male),2000,Polished aluminum,Design
Coo Coo Radio Alarm-clock,Philippe Starck,(French),(Male),2000,ABS plastic,Design
Dadada Stool,Philippe Starck,(French),(Male),2000,Injection-molded polypropylene,Design
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),2000,Thermoplastic resin and ABS polymer,Design
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),2000,Thermoplastic resin and ABS polymer,Design
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),2000,Thermoplastic resin and ABS polymer,Design
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),2000,Thermoplastic resin and ABS polymer,Design
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),2000,Thermoplastic resin and ABS polymer,Design
Dr. No Chair,Philippe Starck,(French),(Male),2000,"Solid-dyed polypropylene, aluminum, and epoxy polyester or natural finish",Design
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),2000,Thermoplastic resin,Design
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),2000,Thermoplastic resin,Design
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),2000,Thermoplastic resin,Design
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),2000,Thermoplastic resin,Design
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),2000,Thermoplastic resin,Design
Excalibur Toilet Brush,Philippe Starck,(French),(Male),2000,Polypropylene and nylon,Design
Excalibur Toilet Brush,Philippe Starck,(French),(Male),2000,Polypropylene and nylon,Design
Excalibur Toilet Brush,Philippe Starck,(French),(Male),2000,Polypropylene and nylon,Design
Excalibur Toilet Brush,Philippe Starck,(French),(Male),2000,Polypropylene and nylon,Design
Excalibur Toilet Brush,Philippe Starck,(French),(Male),2000,Polypropylene and nylon,Design
Excalibur Toilet Brush,Philippe Starck,(French),(Male),2000,Polypropylene and nylon,Design
Hot Bertaa Kettle,Philippe Starck,(French),(Male),2000,"Cast aluminum, silicone resin and polyamide",Design
Hot Bertaa Kettle,Philippe Starck,(French),(Male),2000,Aluminum casting silicone resin and polyamide,Design
Hot Bertaa Kettle,Philippe Starck,(French),(Male),2000,Aluminum casting colored by a silicone resin and polyamide,Design
Hot Fredo Thermos,Philippe Starck,(French),(Male),2000,Plastic and glass,Design
Hot Fredo Thermos,Philippe Starck,(French),(Male),2000,Plastic and glass,Design
Hot Fredo Thermos,Philippe Starck,(French),(Male),2000,Plastic and glass,Design
Jim Nature Portable Television,Philippe Starck,(French),(Male),2000,High-density wood and plastic,Design
Joe Cactus Ashtray,Philippe Starck,(French),(Male),2000,Bakelite,Design
Joe Cactus Ashtray,Philippe Starck,(French),(Male),2000,Bakelite,Design
Joe Cactus Ashtray,Philippe Starck,(French),(Male),2000,Bakelite,Design
Joe Cactus Ashtray,Philippe Starck,(French),(Male),2000,Bakelite,Design
Juicy Salif Lemon Squeezer,Philippe Starck,(French),(Male),2000,Pressure cast polished aluminum and polyamide,Design
Juicy Salif Lemon Squeezer,Philippe Starck,(French),(Male),2000,.1: Aluminum casting and polyamide,Design
Juicy Salif Lemon Squeezer,Philippe Starck,(French),(Male),2000,P.T.F.E.-treated pressure cast aluminum and polyamide,Design
Laguiole Knife,Philippe Starck,(French),(Male),2000,Stainless steel and polished aluminum,Design
La Marie Chair,Philippe Starck,(French),(Male),2000,Polycarbonate,Design
Lola Mundo Chair,Philippe Starck,(French),(Male),2000,"Cast aluminum legs, ashwood with ebony finish, black colored chromium-plated steel hinges, and colored rubber studs",Design
Louis 20 Chair,Philippe Starck,(French),(Male),2000,Blown polypropylene and polished aluminum,Design
Luci Fair Wall Sconce,Philippe Starck,(French),(Male),2000,Acid-etched glass,Design
Max le Chinois Colander,Philippe Starck,(French),(Male),2000,18/10 Stainless steel and brass,Design
Mimi Bayou Handle,Philippe Starck,(French),(Male),2000,"Shell mould cast aluminum, polished",Design
Miss C.O.C.O. Folding Chair,Philippe Starck,(French),(Male),2000,Thermoplastic and lacquered aluminum,Design
Miss C.O.C.O. Folding Chair,Philippe Starck,(French),(Male),2000,Thermoplastic and lacquered aluminum,Design
Miss C.O.C.O. Folding Chair,Philippe Starck,(French),(Male),2000,Thermoplastic and lacquered aluminum,Design
Miss C.O.C.O. Folding Chair,Philippe Starck,(French),(Male),2000,Thermoplastic and lacquered aluminum,Design
Miss Donna Table Mirror,Philippe Starck,(French),(Male),2000,Polished aluminum and glass,Design
Miss Sissi Table Lamp,Philippe Starck,(French),(Male),2000,Injection-molded high temperature polycarbonate,Design
Miss Trip Chair,Philippe Starck,(French),(Male),2000,"Polypropylene, laminated back, and solid beechwood legs",Design
Mister Kleen Toothpick Holder Set,Philippe Starck,(French),(Male),2000,Polyamide with ABS polymer,Design
Mister Meumeu Cheese Grater,Philippe Starck,(French),(Male),2000,ABS (Acrylonitrile Butneliene Styrene) plastic polyamide and 18/10 stainless steel,Design
Mister Meumeu Cheese Grater,Philippe Starck,(French),(Male),2000,"ABS plastic, polyamide, and stainless steel",Design
Mister Meumeu Cheese Grater,Philippe Starck,(French),(Male),2000,"ABS (Acrylonitrile Butneliene Styrene), polyamide, and 18/10 stainless steel",Design
Moosk Wall Mounted Radio,"Philippe Starck, Jerome Olivet",(French) (),(Male) (Male),2000,ABS (acrylonitrite-butadiene-styrene),Design
Peninsula Chair,Philippe Starck,(French),(Male),2000,"Mahogany-stained beechwood, cotton upholstery, and aluminum",Design
Petite _trangetÌ© Contre un Mur Vase,Philippe Starck,(French),(Male),2000,Glass,Design
Petite _trangetÌ© Sous un Mur Vase,Philippe Starck,(French),(Male),2000,Glass,Design
Poe Radio,Philippe Starck,(French),(Male),2000,ABS (acrylonitile-butadiene-styrene),Design
Prince Aha Stool,Philippe Starck,(French),(Male),2000,Solid-dyed polypropylene,Design
Ray Hollis Ashtray,Philippe Starck,(French),(Male),2000,Polished aluminum,Design
Royalton Bar Stool,Philippe Starck,(French),(Male),2000,Cast aluminum and velvet,Design
Toothbrush and Toothbrush Holder,Philippe Starck,(French),(Male),2000,Thermoplastic resin and ABS polymer,Design
Toothbrush and Toothbrush Holder,Philippe Starck,(French),(Male),2000,Thermoplastic resin and ABS polymer,Design
Toothbrush and Toothbrush Holder,Philippe Starck,(French),(Male),2000,Thermoplastic resin and ABS polymer,Design
Toothbrush and Toothbrush Holder,Philippe Starck,(French),(Male),2000,Thermoplastic resin and ABS polymer,Design
Walter Wayle Wall Clock,Philippe Starck,(French),(Male),2000,Thermoplastic resin,Design
W.W. Stool,Philippe Starck,(French),(Male),2000,Sand-cast aluminum,Design
Cowhorn Chair (model PP 505),Hans Wegner,(Danish),(Male),2000,Walnut and cane,Design
#2765 Yuragi (Fluctuation),Akihiro Kaneko,(Japanese),(Male),2000,Polyester and washi paper,Design
Pedocal,Yoshihiro Kimura,(Japanese),(Male),2000,"Nylon, polyurethane, polyester, and rayon",Design
Washi & Wool,Osamu Mita,(Japanese),(Male),2000,Wool and washi paper,Design
Brickyard,Keiji Otani,(Japanese),(Male),2000,Nylon and polyurethane,Design
Triaxial Fabric,"Sakase Adtech Co., Fukui, Japan",(Japanese),(Gender unknow),2000,Carbon fiber,Design
Moss Temple,Reiko Sudo,(Japanese),(Female),2000,Rayon and polyester,Design
Patched Paper,Reiko Sudo,(Japanese),(Female),2000,Polyester and Mino washi paper,Design
Shutter,Reiko Sudo,(Japanese),(Female),2000,Nylon,Design
Harmony,"Urase Co., Ltd., Fukui, Japan",(Japanese),(Gender unknow),2000,Polyester,Design
Iridescent Satin,Koichi Yoshimura,(Japanese),(Male),2000,Polyester monofilament and cotton,Design
Blue Mirror Cloth with Wrinkles,"Koichi Yoshimura, Reiko Sudo",(Japanese) (Japanese),(Male) (Female),2000,Polyester and polyester monofilament,Design
Oval Steel Cheese Knife,Mikael Bj_rnstjerna,(Swedish),(Male),2000,Stainless steel and molybdenum steel,Design
Sussex Corner Chair,Ford Madox Brown,(British),(Male),2000,Ebonized oak and rush seat,Design
Cone Chair,"Fernando Campana, Humberto Campana",(Brazilian) (Brazilian),(Male) (Male),2000,Stainless steel and clear polycarbonate,Design
Inflating Table,"Fernando Campana, Humberto Campana",(Brazilian) (Brazilian),(Male) (Male),2000,Polyvinylchloride (PVC) film and anodized aluminum,Design
Ottoman,"Fernando Campana, Humberto Campana",(Brazilian) (Brazilian),(Male) (Male),2000,Stainless steel and polycarbonate,Design
Vermelha Chair,"Fernando Campana, Humberto Campana",(Brazilian) (Brazilian),(Male) (Male),2000,"Iron with epoxy coating, aluminum, and cord",Design
LEGO building bricks,Godtfred Kirk Christiansen,(Danish),(Male),2000,ABS plastic,Design
Wrinkle P Fabric,"Inoue Pleats Co., Ltd., Fukui, Japan",(Japanese),(Gender unknow),2000,Polyester,Design
