Title,Artist,Nationality,Gender,Year,Medium,Classification
"Harlequin Hamlet , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,Etching and pochoir,Illustrated Book
"Harlequin Diplomat , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,"Etching, aquatint, and pochoir",Illustrated Book
"Harlequin Knight of Malta , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,Etching with roulette and pochoir,Illustrated Book
"Homosexual Harlequin , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,Etching and pochoir,Illustrated Book
"Dancing Harlequin, plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,"Etching, aquatint, and pochoir",Illustrated Book
Plate (folio 6) from the illustrated book Toupies,Jean Lurí_at,(French),(Male),1940,Drypoint and pochoir,Illustrated Book
"Harlequin General , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,"Etching, aquatint, and pochoir",Illustrated Book
"Harlequin Mime , plate (folio 8) from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,Etching and pochoir,Illustrated Book
"Jesuit Harlequin , plate (folio 9) from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,Etching and pochoir,Illustrated Book
"Harlequin's Lust , plate (folio 10) from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,"Etching, aquatint, and pochoir",Illustrated Book
"Harlequin and the Gardener , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,Etching and pochoir,Illustrated Book
"Harlequin General , plate from the illustrated book Toupies",Jean Lurí_at,(French),(Male),1940,"Etching, aquatint, and pochoir",Illustrated Book
"Harlequin and his Shadow (plate, folio 13) from Toupies",Jean Lurí_at,(French),(Male),1940,Etching and pochoir,Illustrated Book
Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,Portfolio of ten lithographs and supplementary text,Print
Behold What Is Greater from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
I Saw Dimly Relieved from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
Eternal Silence Reigns from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
Rachel Weeping from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
She It Was That Stood from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
Every Slave from Levana and Our Ladies of Sorrow,Ben Shahn,(American),(Male),1940,One from a portfolio of ten lithographs,Print
